"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "TypeScript JSX", "XML", "CSS", "Markdown", "comment", "blank", "total"
"d:\araby\lib\utils\cookies.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 33, 12, 111
"d:\araby\lib\utils\jwt.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 23, 16, 122
"d:\araby\lib\validation.ts", "TypeScript", 215, 0, 0, 0, 0, 0, 0, 0, 43, 21, 279
"d:\araby\middleware.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 15, 20, 108
"d:\araby\next.config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"d:\araby\package-lock.json", "JSON", 0, 7700, 0, 0, 0, 0, 0, 0, 0, 1, 7701
"d:\araby\package.json", "JSON", 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"d:\araby\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\araby\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\araby\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\araby\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\araby\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\araby\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\araby\tsconfig.json", "JSON with Comments", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"d:\araby\types\auth.ts", "TypeScript", 139, 0, 0, 0, 0, 0, 0, 0, 6, 8, 153
"d:\araby\types\quote.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 1, 4, 75
"d:\araby\types\task.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 1, 7, 104
"d:\araby\types\user.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 1, 6, 66
"Total", "-", 3152, 11079, 16, 27, 15874, 5, 117, 23, 1039, 1845, 33177
